Strain;bams01;bams03;bams05;bams13;bams15;bams21;bams22;bams23;bams24;bams25;bams28;bams30;bams31;bams34;bams44;bams51;bams53;CG3;pXO1;pXO2;vntr12;vntr16;vntr17;vntr19;vntr23;vntr35;vrrA;vrrB1;vrrB2;vrrC1;vrrC2
2;13;30;6;23;46;10;16;11;11;13;14;71;64;9;8;9;8;2;8;7;6;20;12;5;4;4;4;20;14;48;21
12;10;18;6;33;43;12;15;11;11;13;14;69;64;9;7;9;8;2;6;6;6;21;4;5;4;4;6;20;14;57;17
25;10;18;6;33;43;12;15;11;11;13;14;71;64;9;2;9;8;2;7;6;6;21;4;5;4;4;4;20;14;57;17
28;11;27;6;28;45;10;13;10;11;13;13;6;65;9;8;6;6;2;6;9;5;24;3;5;3;3;3;23;15;53;17
29;10;18;6;33;43;12;15;11;11;13;14;71;64;9;2;9;8;2;7;6;6;21;4;5;4;4;6;20;14;57;17
76;10;18;6;33;43;12;15;11;11;13;14;69;64;9;2;9;8;2;6;6;6;21;4;5;4;4;6;20;14;57;17
89;11;27;6;28;45;10;13;10;11;13;13;6;65;9;7;6;6;2;6;9;5;24;3;5;3;3;3;23;15;53;17
359;10;18;6;33;43;12;15;11;11;13;14;69;64;9;8;9;8;2;6;6;6;21;4;5;4;4;6;20;14;57;17
363;10;18;6;33;43;12;15;11;11;13;14;69;64;9;2;9;8;2;6;6;6;21;4;5;4;4;4;20;14;57;17
373;13;30;0;74;46;9;13;10;9;4;14;72;53;7;8;9;8;1;0;6;6;8;4;5;4;3;4;17;14;56;15
419;10;18;6;33;43;12;15;11;11;13;14;69;64;9;8;9;8;2;6;6;6;21;5;5;4;4;6;20;14;57;17
1370;13;30;7;30;45;10;16;11;11;13;14;69;65;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
2110;10;28;6;65;44;8;19;12;13;22;14;54;46;11;8;9;9;2;9;10;5;20;3;1;5;5;6;20;14;57;19
3016;12;30;7;30;45;10;16;11;11;12;14;75;64;9;8;9;8;2;NA;7;6;20;4;5;4;4;4;16;14;57;21
4980;17;28;6;65;45;9;19;11;12;22;14;53;45;12;2;9;8;2;9;10;5;19;4;1;3;4;6;19;15;57;19
5838;16;29;6;65;45;10;18;11;12;22;15;53;45;11;8;9;9;2;9;3;6;18;4;2;4;5;6;19;15;60;19
6057;16;28;5;65;45;9;19;12;13;22;16;54;44;11;8;9;10;2;9;11;5;20;4;1;4;3;6;20;15;57;19
7693;12;28;6;24;45;9;16;12;13;22;14;10;51;11;8;6;7;2;6;6;4;23;4;2;6;5;6;22;15;53;19
7702;13;25;7;76;45;10;16;11;11;13;14;51;65;11;8;9;8;2;9;NA;6;NA;NA;4;3;5;4;20;14;53;17
2000031008;13;27;6;20;44;10;16;11;9;13;14;72;60;7;8;9;8;2;10;8;6;20;NA;5;4;4;4;20;14;48;21
2000031021;22;24;5;23;48;10;20;12;9;13;14;56;99;7;8;9;8;2;NA;4;5;24;6;5;2;5;5;23;15;29;21
2000031023;11;18;6;30;50;10;16;10;9;13;14;56;61;7;6;8;8;2;9;9;6;20;4;4;4;4;4;20;14;57;17
2000031709;13;27;6;20;49;10;15;11;9;13;14;68;64;7;8;9;8;2;10;8;6;20;NA;5;4;4;4;20;14;48;21
2002013094;10;27;5;23;48;10;24;12;9;13;14;53;99;9;8;9;8;2;6;4;5;24;6;5;2;5;5;27;15;29;21
1/069;13;30;7;30;45;10;16;11;11;13;14;75;64;8;8;9;8;1;7;8;6;8;4;4;4;3;4;20;14;57;21
14RA5914_Dobichau;16;28;7;70;45;10;16;11;11;13;14;57;64;11;8;9;8;2;10;9;6;20;3;4;4;5;4;20;14;53;17
17OD930;14;27;6;27;42;10;15;9;10;13;14;14;84;9;8;6;6;2;9;6;5;23;3;5;3;5;3;19;13;53;17
18_45/90;10;18;6;33;43;12;15;11;11;13;14;71;64;9;2;9;8;2;6;6;6;21;4;5;4;4;6;20;14;57;17
188678_1;16;24;7;51;45;10;16;11;11;13;14;57;64;9;8;9;8;2;8;8;6;20;3;4;4;4;4;20;14;57;17
2991_1B;16;30;6;65;44;9;20;12;13;23;16;53;44;12;8;9;9;2;9;11;6;20;4;1;4;5;11;20;14;58;19
2991_2B;16;30;6;70;45;9;19;12;13;22;17;53;46;11;8;9;9;2;8;4;6;24;4;1;3;7;11;20;14;58;20
3_IZSLT;13;30;7;30;45;10;16;11;11;13;14;75;65;9;8;9;8;1;7;6;6;20;4;5;4;4;4;20;14;57;21
3008_1A;16;30;6;55;45;8;20;12;13;22;16;53;45;11;8;9;10;2;9;11;5;19;4;1;5;5;11;19;15;58;19
3079_1C;16;29;6;65;46;9;19;12;13;22;13;52;44;11;8;9;9;2;9;10;5;19;4;1;5;4;11;19;15;56;20
3080_1B;16;28;7;70;45;9;19;12;13;22;15;55;52;11;8;9;9;2;8;3;6;24;4;1;5;4;11;20;15;54;19
3080_3B;16;28;6;65;44;9;19;11;13;22;14;50;43;11;8;9;9;2;9;10;6;20;5;1;5;4;11;20;14;57;19
3080_5A;17;27;7;70;44;10;18;13;13;22;15;58;51;13;8;9;9;2;8;3;6;21;5;1;5;4;12;19;15;59;20
3122_2B;16;28;6;58;45;9;19;12;13;22;14;53;44;11;8;9;10;2;NA;10;6;20;4;1;5;7;11;19;15;58;19
3132_1B;16;30;6;65;45;9;19;12;13;22;14;54;0;11;8;9;9;2;9;4;6;20;4;1;5;4;11;20;15;56;20
3154_BUL5;13;30;7;29;46;0;13;10;9;4;14;74;64;7;8;9;8;1;NA;NA;6;8;NA;5;4;3;5;17;14;56;19
3166_BUL17;13;30;7;30;46;9;13;10;9;4;14;74;56;7;8;9;8;1;9;6;6;8;3;5;4;3;5;17;14;56;19
3186_BUL38;13;30;7;30;46;9;13;10;9;4;14;75;64;7;8;9;8;1;6;6;6;8;3;5;4;3;5;17;14;56;19
3187_BUL39;13;24;7;30;46;9;13;10;9;4;14;75;64;7;8;9;8;1;6;6;6;8;3;5;4;3;5;17;14;56;19
319_02;13;30;7;30;46;9;13;10;9;4;14;72;64;7;8;9;8;1;6;6;6;8;4;5;4;3;5;17;14;56;19
3275_2D;17;16;6;65;44;8;20;12;13;22;15;56;46;10;8;9;9;2;NA;9;6;20;3;1;5;6;14;20;14;55;20
342_02;13;30;7;30;46;9;13;10;9;4;14;72;64;7;8;9;8;1;6;6;6;8;5;5;4;3;5;17;14;56;19
4_IZSLT;13;30;7;30;24;10;16;11;11;13;14;78;64;9;8;9;8;1;8;7;6;20;5;5;4;4;4;20;14;57;21
52_G;16;26;5;70;33;10;16;11;11;13;14;54;64;11;8;9;8;2;10;9;6;20;3;4;4;4;4;20;14;53;17
52-40-NIAH;10;28;7;44;45;10;12;11;11;13;14;39;64;11;8;6;8;2;8;10;6;20;4;4;4;5;4;20;14;53;17
55VNIIVViM;13;24;7;76;30;45;10;15;10;11;13;14;64;9;8;9;8;1;8;NA;6;20;4;5;4;4;4;20;14;57;21
6103_6B;12;17;6;29;42;8;19;12;13;22;14;81;52;11;8;9;9;2;5;9;6;22;5;2;4;5;6;20;15;56;20
6103_6D;11;16;6;29;44;11;17;10;13;22;15;76;51;11;9;9;9;2;5;4;7;20;5;3;5;4;6;19;14;56;19
6461_SP;17;25;6;29;41;11;17;12;13;22;12;76;52;11;9;9;9;2;6;3;6;21;5;3;4;4;6;20;15;59;20
6461_SP1;12;22;6;29;44;9;19;12;13;22;14;81;50;11;8;9;10;2;6;9;6;20;5;1;5;5;6;20;15;57;23
6461_SP2;12;22;6;28;42;10;19;12;13;22;13;82;51;10;4;9;10;2;6;9;5;19;6;1;3;7;6;19;14;58;23
81_1;13;27;7;30;45;10;15;9;11;13;14;76;65;9;8;9;8;1;11;8;6;20;4;5;4;4;4;20;14;57;21
8903_G;16;32;5;50;33;10;16;11;11;13;14;57;64;11;8;9;8;2;10;9;6;20;3;4;4;4;4;20;14;53;17
9080_G;16;26;5;70;24;10;16;11;11;13;14;57;64;11;8;9;8;2;9;9;6;20;3;4;4;5;4;20;13;53;17
A0021;13;30;6;33;43;10;16;11;11;13;14;63;64;7;6;9;8;2;6;8;6;21;4;5;4;4;4;20;14;57;21
A005;13;30;7;30;46;10;14;9;11;13;14;78;64;9;8;9;8;1;10;8;6;20;4;5;4;4;3;20;14;57;21
A006;16;30;7;73;46;10;16;11;11;13;14;57;39;9;8;6;8;2;NA;8;6;20;3;4;4;4;4;20;14;33;17
A030;8;30;7;73;46;10;16;11;11;13;14;53;56;8;8;9;8;2;10;17;6;20;3;4;4;4;4;20;14;57;17
A032;16;28;6;76;46;10;16;11;11;13;14;51;65;11;8;9;8;2;9;7;6;NA;4;4;3;5;4;20;14;53;17
A033;13;30;8;30;46;10;16;11;11;12;14;78;64;9;8;9;8;2;10;8;6;20;4;5;4;4;4;16;14;57;21
A035;7;28;7;73;46;10;16;11;11;13;14;51;50;11;8;9;8;2;9;8;6;NA;4;4;3;5;4;12;14;53;17
A038;16;28;7;76;46;10;16;11;11;13;14;51;65;11;8;9;8;2;9;7;6;NA;4;4;3;5;4;20;14;53;17
A039;12;30;7;73;46;10;16;11;11;13;14;57;57;9;8;9;8;2;9;10;6;20;4;4;4;4;4;20;15;57;17
A040;7;28;7;76;46;10;16;11;11;13;14;51;50;11;8;9;8;2;11;8;5;NA;4;4;3;5;4;20;14;53;17
A041;16;28;6;76;46;10;16;11;11;13;10;51;65;11;8;9;8;2;9;7;6;NA;4;4;3;5;4;20;14;53;17
A043;13;30;7;28;46;10;16;11;11;13;14;51;61;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;17
A044;16;30;7;73;46;9;16;11;11;13;14;57;64;9;8;9;8;2;8;10;6;20;3;4;4;4;4;20;14;57;17
A0442;11;27;6;28;45;10;13;10;11;13;13;6;65;1;8;6;6;2;6;9;5;24;3;5;3;3;3;23;15;53;17
A0465;14;27;6;27;42;10;15;10;11;13;14;17;84;9;8;8;6;2;9;7;5;23;3;5;3;6;3;19;14;53;17
A0488;13;30;7;20;44;10;16;11;11;13;14;71;64;9;6;9;8;2;10;8;6;20;12;5;2;4;2;20;13;48;21
A059;13;30;7;23;46;10;16;11;11;13;14;68;64;9;8;9;8;2;10;10;7;20;453;5;4;4;4;20;14;48;21
A065;16;28;7;76;46;9;16;11;11;13;14;51;65;11;8;9;8;2;9;8;6;NA;4;4;3;5;4;20;14;53;17
A067;13;30;7;23;46;10;16;11;11;13;14;71;64;9;8;9;8;2;10;10;6;20;453;5;4;4;4;20;14;48;21
A072;11;26;6;28;44;10;13;10;11;13;13;6;63;1;8;6;6;2;6;9;5;24;3;5;3;3;3;23;15;53;17
A0777;13;30;7;30;49;10;16;11;11;13;14;75;64;9;12;9;8;1;8;6;6;21;4;5;4;4;4;20;14;57;21
A082;8;30;7;73;45;10;16;11;11;13;14;57;56;8;8;9;8;2;10;20;6;20;3;4;4;4;4;20;14;57;17
A084;16;30;7;73;46;9;16;11;11;13;14;57;64;9;8;9;8;2;8;12;6;20;3;4;4;4;4;20;14;57;17
A085;16;30;7;20;45;10;16;11;11;13;14;71;64;9;8;9;8;2;10;11;6;20;453;5;4;4;4;20;13;48;21
A086;16;28;7;76;46;10;16;11;11;13;14;51;61;11;8;9;8;2;9;7;6;20;4;4;3;5;4;20;14;53;17
A088;16;28;7;75;46;10;10;11;11;13;14;54;64;11;8;7;8;2;NA;11;6;NA;4;4;4;5;3;20;14;53;17
A089;16;30;7;73;46;10;16;11;11;13;14;57;64;9;8;9;8;2;8;10;6;20;3;4;4;4;4;20;14;57;17
A091_Pollino;13;30;7;30;46;9;13;10;9;4;14;75;64;7;8;9;8;1;6;7;6;8;4;5;4;3;4;20;14;57;19
A092;16;30;7;72;46;10;16;11;11;13;14;57;64;9;8;9;8;2;9;10;6;20;3;4;4;4;4;20;14;57;17
A1039;12;30;7;30;45;10;16;11;11;13;14;57;57;9;8;9;8;2;9;8;6;20;3;4;4;4;4;20;14;57;17
A1055;22;33;7;23;48;10;24;11;11;13;14;71;99;11;8;9;8;2;9;5;5;NA;3;5;2;5;5;27;15;29;21
A1074;12;27;7;30;24;10;16;11;11;13;14;57;57;9;8;9;8;2;9;9;6;20;5;4;4;4;4;20;14;57;17
A1075;12;30;7;30;45;10;16;11;11;13;14;57;57;9;8;9;8;2;9;9;6;20;3;4;4;4;4;20;14;57;17
A1144;13;30;1;30;45;10;16;11;11;13;14;75;64;11;8;9;8;1;8;7;6;20;4;5;4;4;4;20;14;57;21
A131;14;27;6;27;43;10;15;10;11;13;14;16;84;13;8;6;6;2;6;7;5;22;3;5;4;5;3;19;14;53;17
A133;14;21;6;8;43;10;15;10;11;13;14;16;84;13;8;6;6;2;9;7;5;23;3;5;3;5;3;19;14;53;17
A138;13;30;7;71;44;10;16;11;11;13;14;57;63;11;8;9;8;2;9;10;6;20;4;4;4;5;4;20;14;57;17
A140;16;28;7;72;46;10;10;11;11;13;14;57;64;11;8;9;8;2;9;10;6;NA;4;4;4;5;4;20;14;53;17
